영문공항명,한글공항명,공항코드1(IATA),한글국가명
A Coruna Airport,아코루냐 공항,LCG,스페인
Aalborg Airport,올보르 공항,AAL,덴마크
Aarhus Airport,오르후스 공항,AAR,덴마크
Aasiaat Airport,아시아앗 공항,JEG,그린란드
Aba Segud Airport,아바 세구드 공항,JIM,이디오피아
Aba Tenna Dejazmach Yilma International Airport,아바 테나 데자즈마흐 일마 국제공항,DIR,이디오피아
Abadan Airport,아바단 공항,ABD,이란
Abaiang Airport,아바이앙 공항,ABF,키리바시
Abakan Airport,아바칸 공항,ABA,러시아
Abbotsford International Airport,애버츠퍼드 국제공항,YXX,캐나다
Abdelhafid Boussouf Bou Chekif Airport,압델하피드 부수프 부 체키프 공항,TID,알제리
Abdul Rachman Saleh Airport,압둘 라흐만 살레 공항,MLG,인도네시아
Abdullahi Yusuf International Airport,압둘라히 유수프 국제공항,GLK,소말리아
Abeche Airport,아베셰 공항,AEH,차드
Abeid Amani Karume International Airport,아베이드 아마니 카루메 국제공항,ZNZ,탄자니아
Abel SantamarIa Airport,아벨 산타마리아 공항,SNU,쿠바
Abemama Atoll Airport,아베마마 아톨 공항,AEA,키리바시
Aberdeen International Airport,애버딘 국제공항,ABZ,영국
Aberdeen Regional Airport,애버딘 지역 공항,ABR,미국
Abha Regional Airport,아바 공항,AHB,사우디아라비아
Abilene Regional Airport,애빌린 지역 공항,ABI,미국
Abraham Gonzalez International Airport,아브라함 곤잘레스 국제 공항,CJS,멕시코
Abraham Lincoln Capital Airport,에이브러햄 링컨 캐피털 공항,SPI,미국
Abruzzo Airport,아브루초 공항,PSR,이탈리아
Abu Dhabi International Airport,아부다비 국제공항,AUH,아랍에미레이트
Abu Musa Airport,아부무사 공항,AEU,이란
Abu Simbel Airport,아부심벨 공항,ABS,이집트
Acadiana Regional Airport,아카디아나 지역공항,ARA,미국
Acandi Alcides Fernandez Airport,아칸디 알시데스 페르난데스 공항,ACD,콜롬비아
Acapulco Alvarez International Airport,아카풀코 알바레스 국제공항,ACA,멕시코
Accra Kotoka International Airport,아크라 코토카 국제공항,ACC,가나
Achmad Yani International Airport,아흐마드 야니 국제공항,SRG,인도네시아
Achutupo Airport,아추투포 공항,ACU,파나마
Adado Airport,아다도 공항,AAD,소말리아
Adak Island Naval Airport,아다크 섬 해군 공항,ADK,미국
Adampur Airport,아담푸르 공항,AIP,인도
Adana Sakirpasa Airport,아다나 사키르파사 공항,ADA,터키
Addis Ababa Bole International Airport,아디스아바바 볼레 국제공항,ADD,이디오피아
Addison Airport,애디슨 공항,ADS,미국
Adelaide Airport,애들레이드 공항,ADL,오스트레일리아
Adelaide Parafield Airport,애들레이드 파라필드 공항,n/a,오스트레일리아
Aden Adde International Airport,아덴 아데 국제 공항,MGQ,소말리아
Aden International Airport,아덴 국제공항,ADE,예멘
Adirondack Regional Airport,애디론댁 공항,SLK,미국
Adisucipto International Airport,아디수킵토 국제 공항,JOG,인도네시아
Adisumarmo International Airport,아디수마르모 국제공항,SOC,인도네시아
Adiyaman Airport,아디야만 공항,ADF,터키
Adolfo Suarez Madrid Barajas Airport,아돌포 수아레스 마드리드 바라하스 공항,MAD,스페인
Adrar Touat Airport,아두라르 투아 공항,AZR,알제리
Aek Godang Airport,애크고당공항,AEG,인도네시아
Afonso Pena International Airport,아폰소 페나 국제 공항,CWB,브라질
Afutara Airport,아푸타라 공항,AFT,솔로몬 제도
Agadir Al Massira Airport,아가디르 알 마시라 공항,AGA,모로코
Agartala Airport,아가탈라 공항,IXA,인도
Agatti Aerodrome,아가티 비행장,AGX,인도
Agen La Garenne Airport,아겐 라 가렌느 공항,AGF,프랑스
Agra Airport,아그라 공항,AGR,인도
Agri Airport,아리 공항,AJI,터키
Aguachica Hacaritama Airport,아과치카 하카리타마 공항,HAY,콜롬비아
Aguaclara Airport,아과클라라 공항,ACL,콜롬비아
Aguas Claras Airport,아구아스 클라라스 공항,OCV,콜롬비아
Aguni Airport,아구니 공항,AGJ,일본
Ahe Airport,아헤 공항,AHE,프랑스령 폴리네시아
Ahvaz International Airport,아바즈 국제 공항,AWZ,이란
Ailinglaplap Airok Airport,아이링라플랍 아이록 공항,AIC,마샬 군도
Ailuk Airport,아일룩 공항,AIM,마샬 군도
Ain Arnat Airport,아인 아르나트 공항,QSF,알제리
Ain Beida Airport,아인 베이다 공항,OGX,알제리
Air Force Base Hoedspruit,공군 기지 호즈프룻,HDS,남아프리카
Aitutaki Airport,아이투타키 공항,AIT,쿡 군도
Ajaccio Napoleon Bonaparte Airport,아작시오 나폴레옹 보나파르트 공항,AJA,프랑스
Aji Pangeran Tumenggung Pranoto International Airport,아지 프린스 투멍궁 프라노토 국제공항,AAP,인도네시아
Ajmer Kishangarh Airport,아지메르 키샨가르 공항,KQH,인도
Akanu Ibiam International Airport,아카누 이비암 국제공항,ENU,나이지리아
Akhiok Airport,아키오크 공항,AKK,미국
Akiachak Airport,아키아착 공항,KKI,미국
Akiak Airport,아키악 공항,AKI,미국
Akita Airport,아키타 공항,AXT,일본
Aklavik Airport,아클라비크 공항,LAK,캐나다
Akola Airport,아콜라 공항,AKD,인도
Akron Canton Airport,애크런 캔턴 공항,CAK,미국
Aksu Airport,악수 공항,AKU,중국
Aktau Airport,악타우 공항,SCO,카자흐스탄
Aktion National Airport,악티온 국립 공항,PVK,그리스
Aktobe Airport,악토베 공항,AKX,카자흐스탄
Akulivik Airport,아쿨리비크 공항,AKV,캐나다
Akure Airport,아쿠레 공항,AKR,나이지리아
Akureyri Airport,아쿠레이리 공항,AEY,아이슬란드
Akutan Airport,아쿠탄 공항,KQA,미국
Al Abraq International Airport,알 아브라크 국제공항,LAQ,리비아
Al Ahsa International Airport,알아사 국제공항,HOF,사우디아라비아
Al Ain International Airport,알 아인 국제공항,AAN,아랍에미레이트
Al Alamain International Airport,알 알라마인 국제공항,DBB,이집트
Al Bateen Executive Airport,알 바틴 이그제큐티브 공항,AZI,아랍에미레이트
Al Diwaniya Airport,알 디와니야 공항,n/a,이라크
Al Ghaydah Airport,알가이다 공항,AAY,예멘
Al Hamra Seaplane Base,알 함라 수상비행기 기지,RHR,아랍에미레이트
Al Jawf Domestic Airport,알 자우프 국내선 공항,AJF,사우디아라비아
Al Maktoum International Airport,알 막툼 국제 공항,DWC,아랍에미레이트
Al Najaf International Airport,알 나자프 국제 공항,NJF,이라크
Al Qadisiyah/Diwaniya Airport,알 카디시야/디와니야 공항,n/a,이라크
Al Qaisumah/Hafr Al Batin Airport,알 카이수마/하프르 알 바틴 공항,AQI,사우디아라비아
Al Wajh Domestic Airport,알 와즈 국내선 공항,EJH,사우디아라비아
Alakanuk Airport,알라카누크 공항,AUK,미국
Alamogordo White Sands Regional Airport,앨라모고도 화이트 샌즈 공항,ALM,미국
Alar Talimu Airport,알라르 탈리무 공항,ACF,중국
Albacete Airport,알바세테 공항,ABC,스페인
Al-Baha Al-Aqiq Airport,알바하 알아키크 공항,ABT,사우디아라비아
Albano Machado Airport,알바노 마차도 공항,NOV,앙골라
Albany Airport,올버니 공항,ALH,오스트레일리아
Albany International Airport,올버니 국제 공항,ALB,미국
Alberni Valley Regional Airport,알버니 밸리 지역공항,YPB,캐나다
Albert J. Ellis Airport,앨버트 J. 엘리스 공항,OAJ,미국
Albert Picardie Airport,알버트 피카르디 공항,BYF,프랑스
Alberto Alcolumbre International Airport,알베르토 알콜룸브레 국제공항,MCP,브라질
